VendaID,Data,LojaID,ProdutoID,VendedorID,Quantidade,PrecoUnitarioCentavos,CustoUnitarioCentavos,DescontoPct,Status
VEN00001,2025-01-09,L06,P08,VND12,4,16900,9800,10,Concluida
VEN00002,2025-04-06,L06,P11,VND12,4,22300,12950,5,Concluida
VEN00003,2025-05-28,L02,P08,VND04,1,16900,9800,0,Concluida
VEN00004,2025-05-09,L07,P10,VND14,2,20500,11900,10,Concluida
VEN00005,2025-11-16,L04,P01,VND07,1,4300,2450,5,Concluida
VEN00006,2025-07-28,L03,P05,VND05,2,11500,6650,0,Concluida
VEN00007,2025-06-06,L03,P01,VND05,5,4300,2450,0,Concluida
VEN00008,2025-12-19,L05,P01,VND10,3,4300,2450,0,Concluida
VEN00009,2025-09-11,L03,P10,VND06,4,20500,11900,10,Concluida
VEN00010,2025-04-30,L05,P01,VND09,3,4300,2450,10,Concluida
VEN00011,2025-05-25,L02,P01,VND04,1,4300,2450,10,Concluida
VEN00012,2025-11-16,L04,P02,VND07,3,6100,3500,10,Concluida
VEN00013,2025-11-13,L04,P03,VND08,1,7900,4550,0,Concluida
VEN00014,2025-02-12,L01,P04,VND02,3,9700,5600,0,Concluida
VEN00015,2025-07-03,L08,P09,VND16,1,18700,10850,0,Concluida
VEN00016,2025-01-07,L06,P05,VND11,5,11500,6650,10,Concluida
VEN00017,2025-08-14,L06,P09,VND11,1,18700,10850,10,Cancelada
VEN00018,2025-10-28,L02,P04,VND04,3,9700,5600,5,Concluida
VEN00019,2025-03-18,L05,P08,VND10,5,16900,9800,10,Concluida
VEN00020,2025-01-12,L02,P04,VND04,5,9700,5600,0,Concluida
VEN00021,2025-04-25,L07,P07,VND14,2,15100,8750,0,Concluida
VEN00022,2025-12-01,L08,P03,VND15,3,7900,4550,10,Concluida
VEN00023,2025-07-15,L03,P09,VND05,3,18700,10850,0,Concluida
VEN00024,2025-02-12,L01,P09,VND02,3,18700,10850,5,Concluida
VEN00025,2025-10-21,L07,P03,VND14,1,7900,4550,0,Concluida
VEN00026,2025-11-28,L06,P05,VND12,2,11500,6650,5,Concluida
VEN00027,2025-03-30,L06,P06,VND12,1,13300,7700,0,Concluida
VEN00028,2025-06-12,L06,P08,VND11,5,16900,9800,5,Concluida
VEN00029,2025-01-04,L02,P01,VND04,5,4300,2450,0,Concluida
VEN00030,2025-10-15,L03,P02,VND05,2,6100,3500,0,Concluida
VEN00031,2025-09-18,L05,P04,VND10,3,9700,5600,10,Concluida
VEN00032,2025-09-06,L02,P03,VND03,4,7900,4550,10,Concluida
VEN00033,2025-01-04,L03,P10,VND06,4,20500,11900,0,Concluida
VEN00034,2025-05-29,L06,P01,VND11,1,4300,2450,5,Cancelada
VEN00035,2025-12-30,L06,P02,VND11,5,6100,3500,0,Concluida
VEN00036,2025-11-05,L05,P04,VND09,4,9700,5600,10,Concluida
VEN00037,2025-06-19,L01,P03,VND01,5,7900,4550,10,Concluida
VEN00038,2025-03-29,L08,P06,VND16,4,13300,7700,5,Concluida
VEN00039,2025-09-20,L06,P08,VND12,3,16900,9800,10,Concluida
VEN00040,2025-09-02,L06,P01,VND12,4,4300,2450,10,Concluida
VEN00041,2025-07-10,L04,P10,VND08,4,20500,11900,10,Concluida
VEN00042,2025-06-24,L01,P04,VND02,1,9700,5600,0,Concluida
VEN00043,2025-01-20,L08,P11,VND15,3,22300,12950,10,Concluida
VEN00044,2025-12-06,L05,P02,VND09,4,6100,3500,10,Concluida
VEN00045,2025-11-17,L02,P07,VND03,1,15100,8750,5,Concluida
VEN00046,2025-12-04,L06,P10,VND11,5,20500,11900,10,Concluida
VEN00047,2025-11-20,L06,P03,VND11,4,7900,4550,0,Concluida
VEN00048,2025-03-26,L06,P04,VND12,4,9700,5600,10,Concluida
VEN00049,2025-06-12,L08,P09,VND15,1,18700,10850,10,Concluida
