VendaID,Data,LojaID,ProdutoID,VendedorID,Quantidade,PrecoUnitarioCentavos,CustoUnitarioCentavos,DescontoPct,Status,ReceitaBrutaCentavos,DescontoCentavos,ReceitaLiquidaCentavos,CustoCentavos,LucroBrutoCentavos
VEN00001,2025-01-09,L06,P08,VND12,4,16900,9800,10,Concluida,67600,6760,60840,39200,21640
VEN00002,2025-04-06,L06,P11,VND12,4,22300,12950,5,Concluida,89200,4460,84740,51800,32940
VEN00003,2025-05-28,L02,P08,VND04,1,16900,9800,0,Concluida,16900,0,16900,9800,7100
VEN00004,2025-05-09,L07,P10,VND14,2,20500,11900,10,Concluida,41000,4100,36900,23800,13100
VEN00005,2025-11-16,L04,P01,VND07,1,4300,2450,5,Concluida,4300,215,4085,2450,1635
VEN00006,2025-07-28,L03,P05,VND05,2,11500,6650,0,Concluida,23000,0,23000,13300,9700
VEN00007,2025-06-06,L03,P01,VND05,5,4300,2450,0,Concluida,21500,0,21500,12250,9250
VEN00008,2025-12-19,L05,P01,VND10,3,4300,2450,0,Concluida,12900,0,12900,7350,5550
VEN00009,2025-09-11,L03,P10,VND06,4,20500,11900,10,Concluida,82000,8200,73800,47600,26200
VEN00010,2025-04-30,L05,P01,VND09,3,4300,2450,10,Concluida,12900,1290,11610,7350,4260
VEN00011,2025-05-25,L02,P01,VND04,1,4300,2450,10,Concluida,4300,430,3870,2450,1420
VEN00012,2025-11-16,L04,P02,VND07,3,6100,3500,10,Concluida,18300,1830,16470,10500,5970
VEN00013,2025-11-13,L04,P03,VND08,1,7900,4550,0,Concluida,7900,0,7900,4550,3350
VEN00014,2025-02-12,L01,P04,VND02,3,9700,5600,0,Concluida,29100,0,29100,16800,12300
VEN00015,2025-07-03,L08,P09,VND16,1,18700,10850,0,Concluida,18700,0,18700,10850,7850
VEN00016,2025-01-07,L06,P05,VND11,5,11500,6650,10,Concluida,57500,5750,51750,33250,18500
VEN00018,2025-10-28,L02,P04,VND04,3,9700,5600,5,Concluida,29100,1455,27645,16800,10845
VEN00019,2025-03-18,L05,P08,VND10,5,16900,9800,10,Concluida,84500,8450,76050,49000,27050
VEN00020,2025-01-12,L02,P04,VND04,5,9700,5600,0,Concluida,48500,0,48500,28000,20500
VEN00021,2025-04-25,L07,P07,VND14,2,15100,8750,0,Concluida,30200,0,30200,17500,12700
VEN00022,2025-12-01,L08,P03,VND15,3,7900,4550,10,Concluida,23700,2370,21330,13650,7680
VEN00023,2025-07-15,L03,P09,VND05,3,18700,10850,0,Concluida,56100,0,56100,32550,23550
VEN00024,2025-02-12,L01,P09,VND02,3,18700,10850,5,Concluida,56100,2805,53295,32550,20745
VEN00025,2025-10-21,L07,P03,VND14,1,7900,4550,0,Concluida,7900,0,7900,4550,3350
VEN00026,2025-11-28,L06,P05,VND12,2,11500,6650,5,Concluida,23000,1150,21850,13300,8550
VEN00027,2025-03-30,L06,P06,VND12,1,13300,7700,0,Concluida,13300,0,13300,7700,5600
VEN00028,2025-06-12,L06,P08,VND11,5,16900,9800,5,Concluida,84500,4225,80275,49000,31275
VEN00029,2025-01-04,L02,P01,VND04,5,4300,2450,0,Concluida,21500,0,21500,12250,9250
VEN00030,2025-10-15,L03,P02,VND05,2,6100,3500,0,Concluida,12200,0,12200,7000,5200
VEN00031,2025-09-18,L05,P04,VND10,3,9700,5600,10,Concluida,29100,2910,26190,16800,9390
VEN00032,2025-09-06,L02,P03,VND03,4,7900,4550,10,Concluida,31600,3160,28440,18200,10240
VEN00033,2025-01-04,L03,P10,VND06,4,20500,11900,0,Concluida,82000,0,82000,47600,34400
VEN00035,2025-12-30,L06,P02,VND11,5,6100,3500,0,Concluida,30500,0,30500,17500,13000
VEN00036,2025-11-05,L05,P04,VND09,4,9700,5600,10,Concluida,38800,3880,34920,22400,12520
VEN00037,2025-06-19,L01,P03,VND01,5,7900,4550,10,Concluida,39500,3950,35550,22750,12800
VEN00038,2025-03-29,L08,P06,VND16,4,13300,7700,5,Concluida,53200,2660,50540,30800,19740
VEN00039,2025-09-20,L06,P08,VND12,3,16900,9800,10,Concluida,50700,5070,45630,29400,16230
VEN00040,2025-09-02,L06,P01,VND12,4,4300,2450,10,Concluida,17200,1720,15480,9800,5680
VEN00041,2025-07-10,L04,P10,VND08,4,20500,11900,10,Concluida,82000,8200,73800,47600,26200
VEN00042,2025-06-24,L01,P04,VND02,1,9700,5600,0,Concluida,9700,0,9700,5600,4100
VEN00043,2025-01-20,L08,P11,VND15,3,22300,12950,10,Concluida,66900,6690,60210,38850,21360
VEN00044,2025-12-06,L05,P02,VND09,4,6100,3500,10,Concluida,24400,2440,21960,14000,7960
VEN00045,2025-11-17,L02,P07,VND03,1,15100,8750,5,Concluida,15100,755,14345,8750,5595
VEN00046,2025-12-04,L06,P10,VND11,5,20500,11900,10,Concluida,102500,10250,92250,59500,32750
VEN00047,2025-11-20,L06,P03,VND11,4,7900,4550,0,Concluida,31600,0,31600,18200,13400
VEN00048,2025-03-26,L06,P04,VND12,4,9700,5600,10,Concluida,38800,3880,34920,22400,12520
VEN00049,2025-06-12,L08,P09,VND15,1,18700,10850,10,Concluida,18700,1870,16830,10850,5980
VEN00050,2025-12-01,L04,P04,VND08,2,9700,5600,5,Concluida,19400,970,18430,11200,7230
VEN00052,2025-12-14,L07,P01,VND14,4,4300,2450,10,Concluida,17200,1720,15480,9800,5680
VEN00053,2025-04-04,L04,P01,VND08,1,4300,2450,0,Concluida,4300,0,4300,2450,1850
VEN00054,2025-09-14,L04,P11,VND08,3,22300,12950,0,Concluida,66900,0,66900,38850,28050
VEN00055,2025-11-21,L08,P03,VND16,1,7900,4550,5,Concluida,7900,395,7505,4550,2955
VEN00056,2025-06-18,L03,P07,VND05,5,15100,8750,0,Concluida,75500,0,75500,43750,31750
VEN00057,2025-08-04,L08,P06,VND15,5,13300,7700,0,Concluida,66500,0,66500,38500,28000
VEN00058,2025-02-09,L01,P06,VND02,5,13300,7700,0,Concluida,66500,0,66500,38500,28000
VEN00059,2025-02-20,L06,P03,VND12,4,7900,4550,10,Concluida,31600,3160,28440,18200,10240
VEN00060,2025-03-17,L04,P05,VND07,1,11500,6650,5,Concluida,11500,575,10925,6650,4275
VEN00061,2025-06-18,L07,P05,VND13,3,11500,6650,0,Concluida,34500,0,34500,19950,14550
VEN00062,2025-09-01,L05,P01,VND10,1,4300,2450,0,Concluida,4300,0,4300,2450,1850
VEN00063,2025-06-29,L07,P04,VND14,3,9700,5600,0,Concluida,29100,0,29100,16800,12300
VEN00064,2025-02-21,L02,P05,VND03,2,11500,6650,10,Concluida,23000,2300,20700,13300,7400
VEN00065,2025-08-17,L07,P10,VND13,1,20500,11900,10,Concluida,20500,2050,18450,11900,6550
VEN00066,2025-11-26,L08,P04,VND16,5,9700,5600,10,Concluida,48500,4850,43650,28000,15650
VEN00067,2025-10-17,L05,P05,VND10,1,11500,6650,5,Concluida,11500,575,10925,6650,4275
VEN00069,2025-01-20,L07,P08,VND13,2,16900,9800,10,Concluida,33800,3380,30420,19600,10820
VEN00070,2025-05-06,L06,P10,VND11,3,20500,11900,0,Concluida,61500,0,61500,35700,25800
VEN00071,2025-07-04,L01,P11,VND01,5,22300,12950,0,Concluida,111500,0,111500,64750,46750
VEN00072,2025-05-25,L08,P07,VND16,1,15100,8750,0,Concluida,15100,0,15100,8750,6350
VEN00073,2025-06-16,L06,P01,VND12,5,4300,2450,0,Concluida,21500,0,21500,12250,9250
VEN00074,2025-08-05,L05,P08,VND10,5,16900,9800,0,Concluida,84500,0,84500,49000,35500
VEN00075,2025-11-26,L01,P11,VND02,5,22300,12950,0,Concluida,111500,0,111500,64750,46750
VEN00076,2025-12-01,L01,P11,VND02,2,22300,12950,5,Concluida,44600,2230,42370,25900,16470
VEN00077,2025-06-22,L02,P08,VND03,1,16900,9800,5,Concluida,16900,845,16055,9800,6255
VEN00078,2025-04-11,L07,P02,VND13,3,6100,3500,10,Concluida,18300,1830,16470,10500,5970
VEN00079,2025-08-28,L06,P05,VND12,2,11500,6650,0,Concluida,23000,0,23000,13300,9700
VEN00080,2025-06-25,L06,P06,VND12,3,13300,7700,5,Concluida,39900,1995,37905,23100,14805
VEN00081,2025-11-02,L07,P07,VND14,1,15100,8750,5,Concluida,15100,755,14345,8750,5595
VEN00082,2025-04-21,L04,P08,VND07,1,16900,9800,10,Concluida,16900,1690,15210,9800,5410
VEN00083,2025-02-21,L08,P12,VND15,4,24100,14000,5,Concluida,96400,4820,91580,56000,35580
VEN00084,2025-06-07,L04,P11,VND07,2,22300,12950,0,Concluida,44600,0,44600,25900,18700
VEN00086,2025-01-12,L04,P11,VND07,1,22300,12950,5,Concluida,22300,1115,21185,12950,8235
VEN00087,2025-08-01,L03,P07,VND05,5,15100,8750,5,Concluida,75500,3775,71725,43750,27975
VEN00088,2025-10-28,L01,P08,VND01,3,16900,9800,10,Concluida,50700,5070,45630,29400,16230
VEN00089,2025-07-02,L01,P09,VND01,2,18700,10850,0,Concluida,37400,0,37400,21700,15700
VEN00090,2025-03-29,L07,P02,VND13,2,6100,3500,0,Concluida,12200,0,12200,7000,5200
VEN00091,2025-09-06,L04,P10,VND08,3,20500,11900,0,Concluida,61500,0,61500,35700,25800
VEN00092,2025-01-18,L06,P05,VND11,2,11500,6650,0,Concluida,23000,0,23000,13300,9700
VEN00093,2025-05-20,L03,P06,VND06,2,13300,7700,0,Concluida,26600,0,26600,15400,11200
VEN00094,2025-05-10,L01,P05,VND02,4,11500,6650,10,Concluida,46000,4600,41400,26600,14800
VEN00095,2025-10-14,L03,P01,VND05,2,4300,2450,0,Concluida,8600,0,8600,4900,3700
VEN00096,2025-11-09,L05,P04,VND10,3,9700,5600,0,Concluida,29100,0,29100,16800,12300
VEN00097,2025-11-27,L06,P10,VND11,4,20500,11900,5,Concluida,82000,4100,77900,47600,30300
VEN00098,2025-10-13,L03,P07,VND06,3,15100,8750,0,Concluida,45300,0,45300,26250,19050
VEN00099,2025-10-02,L05,P03,VND10,3,7900,4550,5,Concluida,23700,1185,22515,13650,8865
VEN00100,2025-06-17,L04,P12,VND07,5,24100,14000,10,Concluida,120500,12050,108450,70000,38450
VEN00101,2025-07-13,L03,P08,VND06,3,16900,9800,5,Concluida,50700,2535,48165,29400,18765
VEN00103,2025-10-12,L06,P07,VND11,1,15100,8750,10,Concluida,15100,1510,13590,8750,4840
VEN00104,2025-07-05,L08,P10,VND16,4,20500,11900,0,Concluida,82000,0,82000,47600,34400
VEN00105,2025-03-05,L07,P02,VND14,2,6100,3500,0,Concluida,12200,0,12200,7000,5200
VEN00106,2025-05-19,L04,P05,VND07,5,11500,6650,0,Concluida,57500,0,57500,33250,24250
VEN00107,2025-04-26,L02,P12,VND03,5,24100,14000,5,Concluida,120500,6025,114475,70000,44475
VEN00108,2025-04-15,L03,P09,VND06,3,18700,10850,0,Concluida,56100,0,56100,32550,23550
VEN00109,2025-04-28,L04,P11,VND07,3,22300,12950,5,Concluida,66900,3345,63555,38850,24705
VEN00110,2025-05-29,L05,P11,VND10,2,22300,12950,0,Concluida,44600,0,44600,25900,18700
VEN00111,2025-08-24,L08,P07,VND16,4,15100,8750,0,Concluida,60400,0,60400,35000,25400
VEN00112,2025-05-03,L05,P11,VND10,2,22300,12950,5,Concluida,44600,2230,42370,25900,16470
VEN00113,2025-05-18,L01,P05,VND01,2,11500,6650,0,Concluida,23000,0,23000,13300,9700
VEN00114,2025-07-31,L02,P02,VND04,1,6100,3500,5,Concluida,6100,305,5795,3500,2295
VEN00115,2025-11-17,L03,P08,VND06,3,16900,9800,0,Concluida,50700,0,50700,29400,21300
VEN00116,2025-09-23,L04,P08,VND07,5,16900,9800,0,Concluida,84500,0,84500,49000,35500
VEN00117,2025-02-26,L03,P02,VND05,3,6100,3500,0,Concluida,18300,0,18300,10500,7800
VEN00118,2025-10-19,L03,P10,VND05,5,20500,11900,5,Concluida,102500,5125,97375,59500,37875
VEN00120,2025-02-09,L08,P11,VND15,3,22300,12950,0,Concluida,66900,0,66900,38850,28050
VEN00121,2025-09-13,L06,P10,VND12,5,20500,11900,5,Concluida,102500,5125,97375,59500,37875
VEN00122,2025-07-18,L03,P09,VND05,2,18700,10850,5,Concluida,37400,1870,35530,21700,13830
VEN00123,2025-05-07,L02,P04,VND03,4,9700,5600,0,Concluida,38800,0,38800,22400,16400
VEN00124,2025-03-24,L07,P04,VND14,4,9700,5600,5,Concluida,38800,1940,36860,22400,14460
VEN00125,2025-07-18,L07,P08,VND13,1,16900,9800,10,Concluida,16900,1690,15210,9800,5410
VEN00126,2025-11-06,L03,P01,VND06,1,4300,2450,5,Concluida,4300,215,4085,2450,1635
VEN00127,2025-07-31,L01,P01,VND01,3,4300,2450,10,Concluida,12900,1290,11610,7350,4260
VEN00128,2025-02-15,L05,P05,VND10,2,11500,6650,0,Concluida,23000,0,23000,13300,9700
VEN00129,2025-09-13,L08,P10,VND15,1,20500,11900,0,Concluida,20500,0,20500,11900,8600
VEN00130,2025-05-08,L07,P05,VND13,2,11500,6650,10,Concluida,23000,2300,20700,13300,7400
VEN00131,2025-09-14,L07,P03,VND14,2,7900,4550,5,Concluida,15800,790,15010,9100,5910
VEN00132,2025-11-27,L02,P09,VND04,4,18700,10850,0,Concluida,74800,0,74800,43400,31400
VEN00133,2025-08-13,L03,P06,VND05,3,13300,7700,10,Concluida,39900,3990,35910,23100,12810
VEN00134,2025-03-07,L04,P05,VND08,3,11500,6650,0,Concluida,34500,0,34500,19950,14550
VEN00135,2025-10-14,L04,P12,VND08,3,24100,14000,0,Concluida,72300,0,72300,42000,30300
VEN00137,2025-03-04,L05,P07,VND10,1,15100,8750,10,Concluida,15100,1510,13590,8750,4840
VEN00138,2025-02-25,L06,P02,VND12,2,6100,3500,0,Concluida,12200,0,12200,7000,5200
VEN00139,2025-08-03,L07,P07,VND13,3,15100,8750,10,Concluida,45300,4530,40770,26250,14520
