LinhaOrigem,ID,Motivo
18,VEN00017,venda_cancelada
35,VEN00034,venda_cancelada
52,VEN00051,venda_cancelada
69,VEN00068,venda_cancelada
86,VEN00085,venda_cancelada
103,VEN00102,venda_cancelada
120,VEN00119,venda_cancelada
137,VEN00136,venda_cancelada
154,VEN00153,venda_cancelada
171,VEN00170,venda_cancelada
188,VEN00187,venda_cancelada
201,VEN00200,id_conflitante
205,VEN00204,venda_cancelada
222,VEN00221,venda_cancelada
239,VEN00238,venda_cancelada
256,VEN00255,venda_cancelada
273,VEN00272,venda_cancelada
290,VEN00289,venda_cancelada
307,VEN00306,venda_cancelada
324,VEN00323,venda_cancelada
341,VEN00340,venda_cancelada
358,VEN00357,venda_cancelada
375,VEN00374,venda_cancelada
392,VEN00391,venda_cancelada
409,VEN00408,venda_cancelada
426,VEN00425,venda_cancelada
443,VEN00442,venda_cancelada
460,VEN00459,venda_cancelada
477,VEN00476,venda_cancelada
494,VEN00493,venda_cancelada
511,VEN00510,venda_cancelada
528,VEN00527,venda_cancelada
545,VEN00544,venda_cancelada
562,VEN00561,venda_cancelada
579,VEN00578,venda_cancelada
596,VEN00595,venda_cancelada
613,VEN00612,venda_cancelada
630,VEN00629,venda_cancelada
647,VEN00646,venda_cancelada
664,VEN00663,venda_cancelada
681,VEN00680,venda_cancelada
698,VEN00697,venda_cancelada
715,VEN00714,venda_cancelada
732,VEN00731,venda_cancelada
749,VEN00748,venda_cancelada
766,VEN00765,venda_cancelada
783,VEN00782,venda_cancelada
800,VEN00799,venda_cancelada
817,VEN00816,venda_cancelada
834,VEN00833,venda_cancelada
851,VEN00850,venda_cancelada
868,VEN00867,venda_cancelada
885,VEN00884,venda_cancelada
902,VEN00901,venda_cancelada
919,VEN00918,venda_cancelada
936,VEN00935,venda_cancelada
953,VEN00952,venda_cancelada
970,VEN00969,venda_cancelada
987,VEN00986,venda_cancelada
1004,VEN01003,venda_cancelada
1021,VEN01020,venda_cancelada
1038,VEN01037,venda_cancelada
1055,VEN01054,venda_cancelada
1072,VEN01071,venda_cancelada
1089,VEN01088,venda_cancelada
1106,VEN01105,venda_cancelada
1123,VEN01122,venda_cancelada
1140,VEN01139,venda_cancelada
1157,VEN01156,venda_cancelada
1174,VEN01173,venda_cancelada
1191,VEN01190,venda_cancelada
1202,VEN00001,duplicata_identica
1203,VEN00002,duplicata_identica
1204,VEN00003,duplicata_identica
1205,VEN00004,duplicata_identica
1206,VEN00005,duplicata_identica
1207,VEN00006,duplicata_identica
1208,VEN00007,duplicata_identica
1209,VEN00008,duplicata_identica
1210,VEN00009,duplicata_identica
1211,VEN00010,duplicata_identica
1212,ERRO001,chave_LojaID_invalida
1213,ERRO002,quantidade_invalida
1214,ERRO003,data_invalida
1215,ERRO004,desconto_invalido
1216,ERRO005,chave_ProdutoID_invalida
1217,ERRO006,valor_negativo
1218,VEN00200,id_conflitante
