Data,CampanhaID,CanalID,InvestimentoCentavos,Impressoes,Cliques,Leads,Oportunidades,Clientes,ReceitaCentavos
2025-01-01,CMP01,CAN01,800000,165550,7768,746,251,73,15783100
2025-01-01,CMP02,CAN01,641600,133220,5616,480,147,37,7027400
2025-01-01,CMP03,CAN02,557400,265246,3292,262,56,12,1734200
2025-01-01,CMP04,CAN02,446500,107289,2108,207,58,14,2322600
2025-01-01,CMP05,CAN03,760900,86452,876,102,42,13,4097500
2025-01-01,CMP06,CAN03,603900,67185,811,99,43,14,5402800
2025-01-01,CMP07,CAN04,105700,94723,3042,200,33,6,591600
2025-01-01,CMP08,CAN04,138400,61461,2373,241,61,15,1770900
2025-02-01,CMP01,CAN01,960100,190205,9034,887,268,73,15580000
2025-02-01,CMP02,CAN01,720700,156870,6393,568,175,51,9922900
2025-02-01,CMP03,CAN02,665500,332887,3981,326,71,14,2021500
2025-02-01,CMP04,CAN02,529100,122303,2336,247,64,15,2356400
2025-02-01,CMP05,CAN03,832000,87767,873,111,49,15,5020600
2025-02-01,CMP06,CAN03,693700,73032,831,102,48,14,5047200
2025-02-01,CMP07,CAN04,127100,106606,3540,236,43,9,908700
2025-02-01,CMP08,CAN04,158200,72266,2911,266,61,14,1640700
2025-03-01,CMP01,CAN01,1056800,190786,8775,831,248,74,14990000
2025-03-01,CMP02,CAN01,815700,152440,6381,565,171,49,8593200
2025-03-01,CMP03,CAN02,728000,386442,4456,356,84,19,2753300
2025-03-01,CMP04,CAN02,595400,134220,2642,293,81,22,3602700
2025-03-01,CMP05,CAN03,931100,110323,1142,127,57,17,5528600
2025-03-01,CMP06,CAN03,782700,75835,877,121,58,20,7074300
2025-03-01,CMP07,CAN04,129800,136733,4574,324,59,12,1196700
2025-03-01,CMP08,CAN04,173000,71547,2834,261,62,15,1747100
2025-04-01,CMP01,CAN01,923300,195911,8874,891,273,76,15699900
2025-04-01,CMP02,CAN01,736300,144557,6065,510,159,46,8234000
2025-04-01,CMP03,CAN02,703700,357679,4212,356,74,17,2601400
2025-04-01,CMP04,CAN02,545200,130801,2621,281,78,19,3298400
2025-04-01,CMP05,CAN03,918300,96109,980,126,55,16,5522000
2025-04-01,CMP06,CAN03,734900,79528,936,113,49,16,5575400
2025-04-01,CMP07,CAN04,140700,119538,4040,299,52,10,953800
2025-04-01,CMP08,CAN04,172600,75000,3015,272,69,17,1929200
